Date : 2026-08-01 18:32:18
Directory : /home/cyvv/Repos/splanything
Total : 90 files,  7143 codes, 2539 comments, 1430 blanks, all 11112 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |         86 |      6,905 |      2,539 |      1,386 |     10,830 |
| Markdown |          2 |        172 |          0 |         39 |        211 |
| TOML     |          1 |         43 |          0 |          5 |         48 |
| YAML     |          1 |         23 |          0 |          0 |         23 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |         90 |      7,143 |      2,539 |      1,430 |     11,112 |
| . (Files)                                                                                       |          3 |        215 |          0 |         44 |        259 |
| .github                                                                                         |          1 |         23 |          0 |          0 |         23 |
| .github/workflows                                                                               |          1 |         23 |          0 |          0 |         23 |
| examples                                                                                        |          2 |        276 |         42 |         48 |        366 |
| src                                                                                             |         76 |      5,460 |      2,131 |        979 |      8,570 |
| src/splanything                                                                                 |         76 |      5,460 |      2,131 |        979 |      8,570 |
| src/splanything (Files)                                                                         |          1 |          4 |          0 |          2 |          6 |
| src/splanything/primitives                                                                      |         21 |      2,548 |        378 |        390 |      3,316 |
| src/splanything/primitives (Files)                                                              |         14 |      2,362 |        376 |        358 |      3,096 |
| src/splanything/primitives/initializers                                                         |          4 |        122 |          2 |         19 |        143 |
| src/splanything/primitives/splitters                                                            |          3 |         64 |          0 |         13 |         77 |
| src/splanything/rendering                                                                       |         13 |        428 |        108 |         82 |        618 |
| src/splanything/rendering (Files)                                                               |          3 |        173 |         29 |         25 |        227 |
| src/splanything/rendering/processors                                                            |          5 |        130 |          3 |         27 |        160 |
| src/splanything/rendering/rasterizers                                                           |          5 |        125 |         76 |         30 |        231 |
| src/splanything/training                                                                        |         38 |      1,941 |      1,338 |        448 |      3,727 |
| src/splanything/training (Files)                                                                |          5 |        767 |        284 |        120 |      1,171 |
| src/splanything/training/callbacks                                                              |          7 |        292 |        171 |         86 |        549 |
| src/splanything/training/losses                                                                 |          4 |         45 |         75 |         21 |        141 |
| src/splanything/training/refinement                                                             |         17 |        662 |        583 |        181 |      1,426 |
| src/splanything/training/refinement (Files)                                                     |          2 |        107 |        143 |         34 |        284 |
| src/splanything/training/refinement/processors                                                  |          4 |         88 |         60 |         26 |        174 |
| src/splanything/training/refinement/rules                                                       |         11 |        467 |        380 |        121 |        968 |
| src/splanything/training/regularizers                                                           |          5 |        175 |        225 |         40 |        440 |
| src/splanything/utils                                                                           |          3 |        539 |        307 |         57 |        903 |
| tests                                                                                           |          8 |      1,169 |        366 |        359 |      1,894 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                        | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/cyvv/Repos/splanything/.github/workflows/publish.yaml                                     | YAML     |         23 |          0 |          0 |         23 |
| /home/cyvv/Repos/splanything/AGENTS.md                                                          | Markdown |        116 |          0 |         20 |        136 |
| /home/cyvv/Repos/splanything/README.md                                                          | Markdown |         56 |          0 |         19 |         75 |
| /home/cyvv/Repos/splanything/examples/example_nor_bra.py                                        | Python   |        146 |         25 |         24 |        195 |
| /home/cyvv/Repos/splanything/examples/example_por_cro.py                                        | Python   |        130 |         17 |         24 |        171 |
| /home/cyvv/Repos/splanything/pyproject.toml                                                     | TOML     |         43 |          0 |          5 |         48 |
| /home/cyvv/Repos/splanything/src/splanything/__init__.py                                        | Python   |          4 |          0 |          2 |          6 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/__init__.py                             | Python   |         34 |          1 |          3 |         38 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/base.py                                 | Python   |        634 |        236 |         82 |        952 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/bspline.py                              | Python   |        144 |          0 |         26 |        170 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/cubic_fan.py                            | Python   |        110 |         17 |         15 |        142 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/gaussian.py                             | Python   |         99 |         13 |         17 |        129 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/initializers/__init__.py                | Python   |          4 |          0 |          2 |          6 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/initializers/base.py                    | Python   |         49 |          0 |          4 |         53 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/initializers/flex.py                    | Python   |         11 |          0 |          5 |         16 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/initializers/mapped.py                  | Python   |         58 |          2 |          8 |         68 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/line.py                                 | Python   |         82 |          0 |         14 |         96 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/meta.py                                 | Python   |        299 |         14 |         28 |        341 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/multi.py                                | Python   |        208 |         61 |         36 |        305 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/path.py                                 | Python   |         96 |          0 |         21 |        117 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/polygon.py                              | Python   |        138 |          0 |         25 |        163 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/radial_freq.py                          | Python   |         78 |         34 |         19 |        131 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/single_bspline.py                       | Python   |        207 |          0 |         31 |        238 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/single_path.py                          | Python   |        165 |          0 |         27 |        192 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/splitters/__init__.py                   | Python   |          3 |          0 |          2 |          5 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/splitters/base.py                       | Python   |         41 |          0 |          5 |         46 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/splitters/flex.py                       | Python   |         20 |          0 |          6 |         26 |
| /home/cyvv/Repos/splanything/src/splanything/primitives/star.py                                 | Python   |         68 |          0 |         14 |         82 |
| /home/cyvv/Repos/splanything/src/splanything/rendering/__init__.py                              | Python   |          4 |          0 |          2 |          6 |
| /home/cyvv/Repos/splanything/src/splanything/rendering/processors/__init__.py                   | Python   |         10 |          0 |          2 |         12 |
